lake,timestamp,download_timestamp,ph,temperature,dissolved_ammonia,cod,bod,dissolved_oxygen,turbidity,conductivity,chloride,nitrate,toc,level,level_2
Bellandhur Lake,2023-08-15 18:30:00,2023-08-15 23:30:00,6.95,29.0,12.5,604.05,163.28,0.56,73.17,1211.0,122.12,22.44,1008.62,1.2,
Agara Lake,2023-08-15 18:30:00,2023-08-15 23:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 19:30:00,2023-08-16 00:30:00,7.19,28.1,1.05,487.42,106.5,0.78,33.82,1348.0,225.3,27.13,382.49,1.29,
Bellandhur Lake,2023-08-15 19:30:00,2023-08-16 00:30:00,6.97,28.9,11.83,559.24,152.15,0.56,73.2,1199.0,122.19,22.48,896.69,1.2,
Agara Lake,2023-08-15 19:30:00,2023-08-16 00:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15,2023-08-16 01:30:00,7.21,27.7,0.98,471.42,105.34,0.78,34.24,1348.0,218.07,26.91,374.13,1.29,20:30:00
Bellandhur Lake,2023-08-15,2023-08-16 01:30:00,7.0,28.7,11.04,559.34,154.8,0.56,66.84,1185.0,117.74,22.49,889.25,1.2,20:30:00
Agara Lake,2023-08-15,2023-08-16 01:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,20:30:00
Varthur Lake,2023-08-15 21:30:00,2023-08-16 02:30:00,7.22,27.5,0.89,460.92,101.04,0.77,35.52,1348.0,213.13,26.15,371.09,1.29,
Bellandhur Lake,2023-08-15 21:30:00,2023-08-16 02:30:00,6.99,28.3,11.67,531.03,147.24,0.56,72.67,1170.0,121.86,22.51,816.35,1.2,
Agara Lake,2023-08-15 21:30:00,2023-08-16 02:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 22:30:00,2023-08-16 03:30:00,7.24,27.3,0.81,450.81,97.07,0.78,35.02,1346.0,208.75,26.21,365.76,1.29,
Bellandhur Lake,2023-08-15 22:30:00,2023-08-16 03:30:00,6.97,27.9,12.57,528.28,147.76,0.57,71.84,1153.0,121.23,22.52,801.17,1.2,
Agara Lake,2023-08-15 22:30:00,2023-08-16 03:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 23:30:00,2023-08-16 04:30:00,7.23,27.2,0.83,459.84,99.18,0.78,34.97,1347.0,212.98,26.97,369.72,1.29,
Bellandhur Lake,2023-08-15 23:30:00,2023-08-16 04:30:00,6.98,27.5,12.61,528.46,150.34,0.57,68.63,1146.0,118.94,22.49,805.36,1.2,
Agara Lake,2023-08-15 23:30:00,2023-08-16 04:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 00:30:00,2023-08-16 05:30:00,7.24,27.0,0.83,483.07,113.78,0.78,35.27,1346.0,221.77,24.9,380.43,1.29,
Bellandhur Lake,2023-08-16 00:30:00,2023-08-16 05:30:00,7.0,27.2,12.19,516.72,147.27,0.57,69.46,1140.0,119.5,22.5,778.93,1.2,
Agara Lake,2023-08-16 00:30:00,2023-08-16 05:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 01:30:00,2023-08-16 06:30:00,7.22,26.9,0.76,518.26,119.02,0.78,34.35,1346.0,238.0,25.18,398.39,1.29,
Bellandhur Lake,2023-08-16 01:30:00,2023-08-16 06:30:00,7.01,26.9,11.81,535.42,152.18,0.58,67.2,1140.0,117.66,22.49,828.13,1.2,
Agara Lake,2023-08-16 00:30:00,2023-08-16 06:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 02:30:00,2023-08-16 07:30:00,7.25,26.7,0.66,497.77,111.43,0.78,34.25,1346.0,228.45,24.21,391.09,1.29,
Bellandhur Lake,2023-08-16 02:30:00,2023-08-16 07:30:00,7.0,26.7,12.01,521.95,149.34,0.58,67.83,1138.0,118.07,22.5,798.53,1.2,
Agara Lake,2023-08-16 00:30:00,2023-08-16 07:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 03:30:00,2023-08-16 08:30:00,7.33,26.5,0.61,502.62,118.6,0.79,34.35,1347.0,229.65,21.4,394.39,1.29,
Bellandhur Lake,2023-08-16 03:30:00,2023-08-16 08:30:00,7.09,26.5,8.39,522.72,149.99,0.58,69.64,1147.0,119.53,22.48,799.52,1.2,
Agara Lake,2023-08-16 00:30:00,2023-08-16 08:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 04:30:00,2023-08-16 09:30:00,7.78,25.7,0.08,486.43,111.76,0.87,34.68,1347.0,222.96,23.13,386.52,1.29,
Bellandhur Lake,2023-08-16 04:30:00,2023-08-16 09:30:00,7.05,26.5,8.38,525.39,149.62,0.58,67.79,1156.0,117.95,22.52,812.36,1.2,
Agara Lake,2023-08-16 00:30:00,2023-08-16 09:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 05:30:00,2023-08-16 10:30:00,7.63,25.0,0.01,526.06,123.41,7.41,34.66,1346.0,240.91,23.8,402.1,1.29,
Bellandhur Lake,2023-08-16 05:30:00,2023-08-16 10:30:00,6.91,26.5,13.28,586.98,163.72,0.58,68.49,1174.0,119.19,22.44,983.43,1.2,
Agara Lake,2023-08-16 00:30:00,2023-08-16 10:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 06:30:00,2023-08-16 11:30:00,5.54,24.5,0.02,501.14,114.33,9.15,34.9,1347.0,230.24,24.82,389.97,1.29,
Bellandhur Lake,2023-08-16 06:30:00,2023-08-16 11:30:00,6.99,26.5,11.82,532.82,148.05,0.58,67.99,1202.0,118.67,22.48,853.73,1.2,
