lake,timestamp,download_timestamp,ph,temperature,dissolved_ammonia,cod,bod,dissolved_oxygen,turbidity,conductivity,chloride,nitrate,toc,level,level_2
Agara Lake,2023-08-19 12:30:00,2023-08-19 17:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 13:30:00,2023-08-19 18:30:00,7.12,26.8,0.3,437.95,100.25,0.79,36.46,1364.0,201.99,24.97,360.38,1.29,
Bellandhur Lake,2023-08-19 13:30:00,2023-08-19 18:30:00,6.48,25.7,149.12,562.73,164.16,0.78,59.08,1178.0,109.22,22.47,960.04,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-19 18:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 14:30:00,2023-08-19 19:30:00,7.12,27.2,0.33,443.09,99.3,0.78,36.16,1363.0,204.8,25.64,362.29,1.29,
Bellandhur Lake,2023-08-19 14:30:00,2023-08-19 19:30:00,6.52,26.2,137.43,570.66,162.46,0.77,62.65,1241.0,111.84,22.51,982.23,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-19 19:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 15:30:00,2023-08-19 20:30:00,7.11,27.5,0.47,458.03,101.66,0.78,35.06,1363.0,211.49,25.17,368.85,1.29,
Bellandhur Lake,2023-08-19 15:30:00,2023-08-19 20:30:00,6.41,26.9,157.45,640.91,173.3,0.76,76.99,1249.0,123.42,22.4,1121.33,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-19 20:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 16:30:00,2023-08-19 21:30:00,7.13,27.5,0.58,460.47,99.84,0.78,34.87,1363.0,213.22,26.04,369.25,1.29,
Bellandhur Lake,2023-08-19 16:00:00,2023-08-19 21:30:00,6.4,27.2,152.05,794.17,213.97,0.76,104.74,1241.0,148.71,22.4,1454.04,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-19 21:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 17:30:00,2023-08-19 22:30:00,7.15,27.2,0.7,494.76,110.58,0.79,34.05,1363.0,227.34,23.85,390.79,1.29,
Bellandhur Lake,2023-08-19 17:30:00,2023-08-19 22:30:00,6.37,27.4,147.26,478.13,139.55,0.76,52.31,1193.0,102.95,22.46,670.38,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-19 22:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 18:30:00,2023-08-19 23:30:00,7.09,27.0,1.1,489.76,117.99,0.79,35.77,1362.0,223.55,23.36,387.98,1.29,
Bellandhur Lake,2023-08-19 18:30:00,2023-08-19 23:30:00,6.36,27.3,151.0,449.91,130.23,0.76,52.04,1194.0,102.3,22.47,611.63,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-19 23:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 19:30:00,2023-08-20 00:30:00,7.04,26.7,1.15,543.02,127.54,0.79,32.39,1361.0,247.02,21.89,418.76,1.29,
Bellandhur Lake,2023-08-19 19:30:00,2023-08-20 00:30:00,6.36,27.2,153.0,472.86,136.95,0.76,53.17,1185.0,103.33,22.5,681.07,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 00:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19,2023-08-20 01:30:00,7.07,26.4,1.06,522.94,121.6,0.79,33.7,1362.0,238.36,21.0,408.41,1.29,20:30:00
Bellandhur Lake,2023-08-19,2023-08-20 01:30:00,6.36,26.9,155.55,653.84,182.75,0.76,75.12,1182.0,122.45,22.38,1159.41,1.3,20:30:00
Agara Lake,2023-08-19 12:30:00,2023-08-20 01:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 21:30:00,2023-08-20 02:30:00,7.07,26.2,1.12,522.61,125.25,0.79,34.5,1361.0,238.29,21.33,403.77,1.29,
Bellandhur Lake,2023-08-19 21:30:00,2023-08-20 02:30:00,6.36,26.6,155.94,463.36,133.38,0.77,53.02,1153.0,102.96,22.51,662.91,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 02:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 22:30:00,2023-08-20 03:30:00,7.05,26.0,1.0,536.1,125.41,0.79,33.34,1360.0,244.87,21.14,411.02,1.29,
Bellandhur Lake,2023-08-19 22:30:00,2023-08-20 03:30:00,6.36,26.3,150.14,454.79,134.59,0.77,48.57,1088.0,99.56,22.49,647.16,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 03:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 23:30:00,2023-08-20 04:30:00,7.06,26.0,1.04,503.23,118.04,0.79,35.29,1361.0,229.35,20.32,399.62,1.29,
Bellandhur Lake,2023-08-19 23:30:00,2023-08-20 04:30:00,6.36,26.0,155.29,456.0,131.45,0.77,47.67,1115.0,98.47,22.48,646.71,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 04:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 00:30:00,2023-08-20 00:00:00,7.06,26.0,1.13,508.11,117.92,0.79,33.66,1358.0,231.77,20.1,400.88,1.29,
Bellandhur Lake,2023-08-20 00:30:00,2023-08-20 00:00:00,6.35,25.9,152.01,430.46,125.12,0.77,50.19,1123.0,100.86,22.5,573.52,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 00:00:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 01:30:00,2023-08-20 06:30:00,7.07,25.9,1.14,500.56,119.91,0.79,35.35,1359.0,227.83,20.18,398.22,1.29,
Bellandhur Lake,2023-08-20 01:30:00,2023-08-20 06:30:00,6.34,25.6,151.48,417.81,125.9,0.78,47.04,1090.0,98.43,22.54,539.15,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 06:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 02:30:00,2023-08-20 07:30:00,7.09,25.7,1.09,500.93,120.42,0.79,34.9,1359.0,227.64,19.55,398.85,1.29,
Bellandhur Lake,2023-08-20 02:30:00,2023-08-20 07:30:00,6.35,25.4,150.88,425.17,125.99,0.78,47.02,1079.0,98.71,22.51,567.41,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 07:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 03:30:00,2023-08-20 08:30:00,7.11,25.6,1.0,480.5,118.33,0.8,35.48,1358.0,218.08,19.69,388.8,1.29,
Bellandhur Lake,2023-08-20 03:30:00,2023-08-20 08:30:00,6.36,25.2,154.16,402.06,119.44,0.79,48.57,1091.0,99.33,22.53,509.64,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 08:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 04:30:00,2023-08-20 09:30:00,7.11,25.4,0.91,460.14,110.93,0.8,36.02,1359.0,209.34,18.99,379.72,1.29,
Bellandhur Lake,2023-08-20 04:30:00,2023-08-20 09:30:00,6.33,25.1,153.83,407.21,121.11,0.79,46.95,1111.0,98.24,22.53,528.51,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 09:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 05:30:00,2023-08-20 10:30:00,7.13,25.2,0.83,436.27,105.35,0.8,36.83,1359.0,199.09,19.73,365.89,1.29,
Bellandhur Lake,2023-08-20 05:30:00,2023-08-20 10:30:00,6.32,25.1,152.23,405.45,119.92,0.78,45.8,1134.0,97.28,22.53,526.17,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 10:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 06:30:00,2023-08-20 11:30:00,7.27,25.1,0.66,427.0,104.98,0.8,37.42,1359.0,194.74,19.83,361.48,1.29,
Bellandhur Lake,2023-08-20 06:30:00,2023-08-20 11:30:00,6.35,25.2,152.38,409.28,117.81,0.78,43.84,1164.0,96.17,22.48,553.97,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 11:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 07:30:00,2023-08-20 12:30:00,7.94,24.2,0.12,422.63,104.31,1.63,38.27,1358.0,193.02,20.27,358.5,1.29,
Bellandhur Lake,2023-08-20 07:30:00,2023-08-20 12:30:00,6.4,25.2,153.08,606.04,165.83,0.78,67.73,1197.0,116.87,22.4,1098.75,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 12:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 08:30:00,2023-08-20 13:30:00,5.96,24.3,0.44,417.65,108.16,9.02,38.53,1357.0,189.39,19.27,357.76,1.29,
Bellandhur Lake,2023-08-20 08:30:00,2023-08-20 13:30:00,6.46,25.4,141.81,696.09,184.45,0.78,81.44,1282.0,129.09,22.32,1344.58,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 13:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 09:30:00,2023-08-20 14:30:00,4.3,24.8,0.37,408.96,97.81,9.25,38.38,1356.0,187.59,21.71,351.79,1.29,
Bellandhur Lake,2023-08-20 09:30:00,2023-08-20 14:30:00,6.51,25.5,135.37,767.51,204.54,0.78,89.67,1275.0,137.98,22.19,1526.39,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 14:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 10:30:00,2023-08-20 15:30:00,3.74,25.6,0.54,408.07,97.45,9.05,38.27,1354.0,187.14,21.39,351.13,1.29,
Bellandhur Lake,2023-08-20 10:30:00,2023-08-20 15:30:00,6.54,25.5,129.95,799.72,197.85,0.78,93.24,1321.0,140.82,22.16,1635.53,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 15:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 11:30:00,2023-08-20 16:30:00,7.66,25.6,0.04,423.85,104.72,1.65,38.26,1354.0,193.61,20.76,357.93,1.29,
Bellandhur Lake,2023-08-20 11:30:00,2023-08-20 16:30:00,6.54,25.5,132.54,-,-,0.78,-,1278.0,-,-,-,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 16:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 12:30:00,2023-08-20 17:30:00,7.59,26.2,0.34,423.21,100.0,0.8,37.37,1354.0,194.41,21.94,356.95,1.29,
Bellandhur Lake,2023-08-20 12:30:00,2023-08-20 17:30:00,6.46,25.5,139.85,637.33,180.84,0.78,70.85,1190.0,120.21,22.38,1160.77,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 17:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 13:30:00,2023-08-20 18:30:00,7.13,26.7,0.46,435.5,102.38,0.79,36.41,1355.0,199.71,21.1,363.57,1.29,
Bellandhur Lake,2023-08-20 13:30:00,2023-08-20 18:30:00,6.42,26.0,146.65,422.63,129.8,0.77,42.74,1147.0,95.38,22.52,584.81,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 18:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 14:00:00,2023-08-20 19:30:00,7.14,27.1,0.46,442.25,104.29,0.78,36.5,1354.0,202.28,21.04,367.43,1.29,
Bellandhur Lake,2023-08-20 14:30:00,2023-08-20 19:30:00,6.44,26.7,152.38,453.99,137.19,0.77,42.31,1182.0,95.32,22.49,659.87,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 19:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 15:30:00,2023-08-20 20:30:00,7.15,27.5,0.61,474.58,110.81,0.78,35.76,1355.0,217.54,22.61,380.89,1.29,
Bellandhur Lake,2023-08-20 15:30:00,2023-08-20 20:30:00,6.39,27.2,156.45,473.45,135.99,0.76,41.99,1224.0,94.21,22.46,703.29,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 20:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 16:30:00,2023-08-20 21:30:00,7.14,27.6,0.88,506.43,108.54,0.78,36.86,1353.0,236.36,32.64,386.49,1.29,
Bellandhur Lake,2023-08-20 16:30:00,2023-08-20 21:30:00,6.34,27.8,158.03,506.5,140.93,0.75,57.38,1236.0,106.25,22.45,739.7,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 21:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 17:30:00,2023-08-20 22:30:00,7.1,27.5,1.12,573.31,126.68,0.78,32.19,1354.0,264.14,26.58,422.69,1.29,
Bellandhur Lake,2023-08-20 17:30:00,2023-08-20 22:30:00,6.32,27.9,155.91,525.72,144.09,0.75,52.69,1219.0,101.69,22.43,800.55,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 22:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 18:30:00,2023-08-20 23:30:00,7.03,27.3,1.77,592.33,129.46,0.78,31.84,1357.0,272.26,25.61,432.52,1.29,
Bellandhur Lake,2023-08-20 18:30:00,2023-08-20 23:30:00,6.3,27.8,152.4,504.84,140.53,0.75,54.73,1196.0,104.16,22.46,746.35,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-20 23:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 19:30:00,2023-08-21 00:30:00,6.95,27.0,3.17,576.56,128.47,0.79,32.72,1356.0,265.52,26.21,422.05,1.29,
Bellandhur Lake,2023-08-20 19:30:00,2023-08-21 00:30:00,6.3,27.7,155.49,1344.17,296.58,0.75,78.41,1172.0,127.18,21.61,3117.28,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 00:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20,2023-08-21 01:30:00,6.96,26.9,3.84,502.95,111.43,0.78,34.67,1355.0,232.68,26.46,386.89,1.29,20:30:00
Bellandhur Lake,2023-08-20,2023-08-21 01:30:00,6.3,27.5,159.16,498.11,141.21,0.75,49.76,1173.0,100.36,22.49,739.58,1.3,20:30:00
Agara Lake,2023-08-19 12:30:00,2023-08-21 01:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 21:30:00,2023-08-21 02:30:00,6.96,26.7,4.19,504.87,112.54,0.79,35.84,1354.0,233.27,25.25,389.52,1.29,
Bellandhur Lake,2023-08-20 21:30:00,2023-08-21 02:30:00,6.3,27.2,161.15,476.72,135.01,0.76,52.43,1174.0,102.3,22.51,673.71,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 02:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 22:30:00,2023-08-21 03:30:00,6.92,26.6,4.54,549.96,123.87,0.79,34.96,1352.0,253.33,24.89,411.22,1.29,
Bellandhur Lake,2023-08-20 22:30:00,2023-08-21 03:30:00,6.3,27.0,158.7,473.62,135.27,0.76,52.71,1169.0,102.29,22.51,664.13,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 03:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-20 23:30:00,2023-08-21 04:30:00,6.9,26.5,4.87,558.0,124.57,0.79,33.74,1351.0,257.13,25.54,414.01,1.29,
Bellandhur Lake,2023-08-20 23:30:00,2023-08-21 04:30:00,6.31,26.8,163.48,458.59,130.21,0.76,51.19,1179.0,101.27,22.5,618.93,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 04:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 00:30:00,2023-08-21 05:30:00,6.9,26.4,5.35,597.84,132.89,0.79,33.03,1350.0,274.41,23.59,436.94,1.29,
Bellandhur Lake,2023-08-21 00:30:00,2023-08-21 05:30:00,6.31,26.6,163.43,446.05,127.61,0.76,49.57,1174.0,100.02,22.52,594.6,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 05:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 01:30:00,2023-08-21 06:30:00,6.9,26.3,5.51,585.98,133.51,0.79,32.31,1351.0,267.82,20.52,435.61,1.29,
Bellandhur Lake,2023-08-21 01:30:00,2023-08-21 06:30:00,6.3,26.4,164.12,441.89,125.51,0.77,50.51,1176.0,100.73,22.5,588.47,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 06:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 02:30:00,2023-08-21 07:30:00,6.94,26.2,5.01,490.14,112.05,0.79,35.06,1348.0,224.45,20.04,391.2,1.29,
Bellandhur Lake,2023-08-21 02:30:00,2023-08-21 07:30:00,6.3,26.2,161.9,433.67,121.49,0.77,49.7,1178.0,100.1,22.51,570.58,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 07:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 03:30:00,2023-08-21 08:30:00,6.92,26.1,4.82,488.91,110.76,0.79,36.07,1348.0,225.01,22.16,388.21,1.29,
Bellandhur Lake,2023-08-21 03:30:00,2023-08-21 08:30:00,6.3,26.0,163.17,441.75,128.02,0.77,46.89,1181.0,98.21,22.51,592.6,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 08:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 04:30:00,2023-08-21 09:30:00,6.98,26.0,4.28,505.04,120.52,0.79,36.97,1347.0,231.41,21.62,393.29,1.29,
Bellandhur Lake,2023-08-21 04:30:00,2023-08-21 09:30:00,6.24,26.0,165.12,444.32,127.7,0.77,47.48,1191.0,98.16,22.51,600.2,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 09:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 05:30:00,2023-08-21 10:30:00,7.27,25.4,3.15,524.94,120.04,0.81,35.18,1346.0,241.06,22.52,402.14,1.29,
Bellandhur Lake,2023-08-21 05:30:00,2023-08-21 10:30:00,6.26,25.9,160.54,446.32,127.03,0.77,49.29,1207.0,99.97,22.51,613.51,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 10:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 06:30:00,2023-08-21 11:30:00,7.29,24.0,0.9,536.52,122.72,2.56,34.88,1345.0,246.46,22.24,407.15,1.29,
Bellandhur Lake,2023-08-21 06:30:00,2023-08-21 11:30:00,6.32,25.8,158.87,-,-,0.78,-,1227.0,-,-,-,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 11:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 07:30:00,2023-08-21 12:30:00,4.95,24.8,0.91,514.69,119.2,7.76,36.32,1344.0,236.41,22.4,396.52,1.29,
Bellandhur Lake,2023-08-21 07:30:00,2023-08-21 12:30:00,6.4,25.9,151.28,-,-,0.77,-,1282.0,-,-,-,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 12:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 08:30:00,2023-08-21 13:30:00,4.17,24.9,0.74,492.78,118.38,8.73,37.52,1342.0,225.28,20.34,389.8,1.29,
Bellandhur Lake,2023-08-21 08:30:00,2023-08-21 13:30:00,6.46,25.8,143.46,-,-,0.77,-,1291.0,-,-,-,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 13:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 09:30:00,2023-08-21 14:30:00,4.15,25.9,0.5,484.2,118.59,8.61,37.12,1339.0,221.25,20.97,384.8,1.29,
Bellandhur Lake,2023-08-21 09:30:00,2023-08-21 14:30:00,6.49,25.8,137.28,-,-,0.77,-,1303.0,-,-,-,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 14:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 10:30:00,2023-08-21 15:30:00,4.95,26.7,0.06,501.69,116.97,3.56,35.96,1339.0,230.34,22.08,392.01,1.29,
Bellandhur Lake,2023-08-21 10:30:00,2023-08-21 15:30:00,6.48,25.7,141.04,-,-,0.78,-,1291.0,-,-,-,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 15:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 11:30:00,2023-08-21 16:30:00,7.5,26.7,0.25,524.52,121.53,0.79,35.83,1340.0,240.59,22.19,402.95,1.29,
Bellandhur Lake,2023-08-21 11:30:00,2023-08-21 16:30:00,6.41,25.7,148.35,839.03,208.98,0.78,69.59,1234.0,118.19,22.17,1772.47,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 16:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 12:30:00,2023-08-21 17:30:00,7.03,27.3,0.89,481.02,111.18,0.78,36.02,1340.0,220.85,21.36,383.58,1.29,
Bellandhur Lake,2023-08-21 12:30:00,2023-08-21 17:30:00,6.39,26.0,154.04,956.03,250.4,0.77,118.4,1188.0,164.17,22.39,1878.29,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 17:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 13:30:00,2023-08-21 18:30:00,7.03,27.9,1.13,496.77,111.37,0.78,36.04,1340.0,228.33,22.48,392.13,1.29,
Bellandhur Lake,2023-08-21 13:30:00,2023-08-21 18:30:00,6.43,26.9,151.74,571.79,164.23,0.76,49.78,1218.0,101.24,22.44,972.28,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 18:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 14:30:00,2023-08-21 19:30:00,7.05,28.2,1.33,491.66,111.72,0.77,34.95,1340.0,225.39,21.54,391.45,1.29,
Bellandhur Lake,2023-08-21 14:30:00,2023-08-21 19:30:00,6.38,27.8,156.62,551.54,150.13,0.75,49.08,1254.0,99.7,22.4,896.02,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 19:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 15:30:00,2023-08-21 20:30:00,7.03,28.4,1.71,499.4,106.71,0.77,33.83,1339.0,230.49,22.94,393.83,1.29,
Bellandhur Lake,2023-08-21 15:30:00,2023-08-21 20:30:00,6.34,28.5,154.75,563.73,154.39,0.74,58.14,1236.0,106.77,22.41,870.66,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 20:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 16:30:00,2023-08-21 21:30:00,6.86,28.6,4.52,506.68,105.88,0.77,33.51,1341.0,234.33,24.12,395.71,1.29,
Bellandhur Lake,2023-08-21 16:30:00,2023-08-21 21:30:00,6.29,28.8,155.91,570.32,151.75,0.74,59.06,1206.0,107.62,22.4,883.99,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 21:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 17:30:00,2023-08-21 22:30:00,6.84,28.5,5.52,495.25,102.47,0.77,34.25,1339.0,229.32,24.02,390.33,1.29,
Bellandhur Lake,2023-08-21 17:30:00,2023-08-21 22:30:00,6.28,28.8,154.23,583.85,156.52,0.74,52.29,1186.0,102.07,22.35,947.48,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 22:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 18:30:00,2023-08-21 23:30:00,6.85,28.2,6.02,496.76,106.11,0.78,34.82,1341.0,229.83,24.07,389.17,1.29,
Bellandhur Lake,2023-08-21 18:30:00,2023-08-21 23:30:00,6.26,28.8,157.48,539.79,148.79,0.74,53.12,1172.0,102.8,22.41,826.91,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-21 23:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-21 19:30:00,2023-08-22 00:30:00,6.85,27.7,6.42,509.69,113.0,0.78,34.07,1338.0,234.97,23.67,394.89,1.29,
Bellandhur Lake,2023-08-21 19:30:00,2023-08-22 00:30:00,6.25,28.7,162.1,511.02,140.53,0.74,49.01,1171.0,99.07,22.44,758.98,1.3,
Agara Lake,2023-08-19 12:30:00,2023-08-22 00:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
