stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,updated_on,outlet_flow,inlet_flow
4MLD Cubbon Park TTP,2023-12-01 03:00:00,7.17,27.90,0.72,4.70,17.31,1.2,0.94,5.02,3.60,-,2023120103,,
KADABEESANAHALLI 50 MLD,2023-11-26 14:15:00,6.83,25.60,0.79,3.53,92.81,7.85,34.05,6.34,3.14,-,2023120103,,
STP Sarakki 5 MLD,2023-12-01 02:45:00,7.96,26.80,0.62,1.24,18.69,4.79,5.65,3.74,-,-,2023120103,,
Mailasandra STP 75 MLD,2023-12-01 03:00:00,7.52,21.80,7.28,13.11,45.53,8.15,18.64,12.94,-0.44,-,2023120103,,
60 MLD V.Valley TTP,2023-12-01 02:45:00,6.92,23.70,0.85,2.04,20.02,1.78,3.19,4.55,1.52,-,2023120103,,
KR Puram STP 20 MLD,2023-12-01 03:00:00,6.96,24.80,2.09,4.18,112.60,0.0,290.29,15.76,3.69,-,2023120103,,
1.5 MLD Lalbagh TTP,2023-11-27 13:15:00,7.21,27.40,0.62,3.03,18.08,1.41,1.06,-0.02,-0.04,-,2023120103,,
35MLD Agaram STP,2023-12-01 03:00:00,7.24,25.10,0.78,3.20,29.68,5.07,4.29,6.52,-,-,2023120103,,
Chikka_Bagur_5_MLD_STP,2023-12-01 03:00:00,7.91,26.70,5.96,11.90,43.10,6.0,8.5,12.00,-,-,2023120103,,
Yelahanka 10MLD TTP,2023-12-01 03:00:00,7.34,24.30,1.44,4.00,34.50,10.1,11.3,6.91,3.05,0.20,2023120103,,
40MLD OLD Rajacanal STP,2023-12-01 03:00:00,7.66,24.20,3.43,11.32,26.10,6.6,7.4,6.53,12.01,1.72,2023120103,,
Hennur 1MLD TTP,2023-11-30 22:45:00,7.56,26.60,1.29,1.93,22.30,3.3,4.9,5.11,4.08,0.26,2023120103,,
4_MLD_Madiwala_STP,2023-12-01 03:00:00,7.79,24.10,1.18,3.42,34.33,2.6,3.55,8.58,-,-,2023120103,,
150MLD STP_K&C valley,2023-12-01 02:55:00,6.54,-,2.71,2.91,-,9.07,8.75,-,-,0.88,2023120103,,
20Mld KR Puram STP New,2023-11-30 15:00:00,7.5,-,3.06,3.38,41.65,6.38,6.83,9.68,-,-,2023120103,,
10 MLD STP HULIMAVU,2023-11-18 23:45:00,7.31,-,-,-,21.22,1.27,3.4,1.20,-,-,2023120103,,
2MLD Ulsoor STP,2023-12-01 03:30:00,7.25,25.80,0.38,1.90,18.48,2.59,2.96,3.70,2.64,-,2023120104,,
CHIKKABANAVARA 5 MLD,2023-12-01 03:45:00,7.54,22.90,0.36,3.30,28.14,4.42,4.49,12.46,2.88,-,2023120104,,
KADUGODI 6 MLD STP,2023-12-01 03:15:00,7.75,26.80,0.50,3.38,37.37,7.06,10.33,6.53,2.95,-,2023120104,,
