stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,updated_on,outlet_flow,inlet_flow
4MLD Cubbon Park TTP,2023-12-21 05:00:00,6.97,28.10,0.75,4.73,17.34,1.23,0.93,5.03,3.75,-,2023122105,-,-
KADABEESANAHALLI 50 MLD,2023-12-17 13:00:00,6.72,22.60,0.87,3.9,50.19,8.67,10.76,8.09,3.47,-,2023122105,-,-
STP Sarakki 5 MLD,2023-12-21 04:45:00,7.89,26.00,0.57,1.14,19.03,5.31,6.51,3.81,-,-,2023122105,-,-
Mailasandra STP 75 MLD,2023-12-21 04:45:00,7.14,20.10,7.34,13.21,45.87,8.93,18.69,14.25,-0.78,-,2023122105,-,-
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,2023122105,-,-
KR Puram STP 20 MLD,2023-12-21 05:00:00,7.23,23.60,1.29,2.58,48.74,6.62,16.73,6.82,1.21,-,2023122105,-,-
1.5 MLD Lalbagh TTP,2023-12-21 05:00:00,7.44,24.00,0.43,2.15,17.89,1.36,1.0,4.82,3.22,-,2023122105,-,-
35MLD Agaram STP,2023-12-21 04:30:00,7.24,24.10,0.83,3.4,29.68,5.07,4.57,6.52,-,-,2023122105,-,-
Chikka_Bagur_5_MLD_STP,2023-12-21 05:00:00,7.67,24.40,6.81,13.6,43.90,6.7,8.5,13.40,-,-,2023122105,-,-
Yelahanka 10MLD TTP,2023-12-21 05:00:00,7.36,23.40,3.35,9.34,41.90,6.2,3.8,8.36,3.09,0.20,2023122105,-,-
40MLD OLD Rajacanal STP,2023-12-21 05:00:00,7.66,22.50,1.86,6.14,25.40,6.7,8.1,6.35,6.51,0.93,2023122105,-,-
Hennur 1MLD TTP,2023-12-20 21:30:00,7.53,25.60,2.1,3.15,26.20,5.0,5.0,5.30,4.18,0.42,2023122105,-,-
4_MLD_Madiwala_STP,2023-12-21 05:00:00,7.65,23.00,1.52,4.41,34.32,2.35,3.56,8.58,-,-,2023122105,-,-
150MLD STP_K&C valley,2023-12-11 15:40:00,8.18,-,3.52,0.93,-,6.39,9.56,-,-,1.91,2023122105,-,-
20Mld KR Puram STP New,2023-12-21 04:45:00,8.18,-,2.05,3.96,41.39,6.34,6.82,9.31,-,-,2023122105,0.40,1.90
10 MLD STP HULIMAVU,2023-12-08 22:45:00,7.6,-,4.24,4.59,-,1.52,4.37,1.20,-,-,2023122105,2.18,2.31
2MLD Ulsoor STP,2023-12-21 05:45:00,7.33,24.90,0.35,1.75,25.90,3.63,4.14,5.18,3.70,-,2023122106,-,-
CHIKKABANAVARA 5 MLD,2023-12-21 05:30:00,7.48,22.40,0.37,3.1,28.69,4.56,4.57,12.49,2.96,-,2023122106,-,-
KADUGODI 6 MLD STP,2023-12-21 05:45:00,7.79,25.10,0.5,3.37,36.51,6.92,8.67,6.58,2.95,-,2023122106,-,-
HORAMAVU 20 MLD,2023-12-21 05:45:00,7.69,26.80,0.94,4.4,55.08,9.03,18.44,6.82,3.76,-,2023122106,-,-
K AND C VALLEY 60 MLD,2023-12-21 05:45:00,6.94,25.50,0.64,3.9,39.09,13.68,6.76,12.26,5.31,-,2023122106,-,-
NAGASANDRA 20 MLD,2023-12-21 05:45:00,7.81,22.40,1.03,4.12,37.26,8.15,7.81,6.26,3.36,-,2023122106,-,-
RAJACANAL 40 MLD,2023-12-21 05:45:00,7.69,24.90,0.87,4.1,28.27,3.46,4.02,8.02,4.18,-,2023122106,-,-
YELLAMALAPACHETTY 15 MLD,2023-12-20 15:59:30,7.03,26.05,0.52,2.08,18.29,4.5,3.55,3.88,3.47,-,2023122106,-,-
BELLANDUR 90 MLD,2023-12-21 05:45:00,7.76,24.70,0.53,1.7,28.69,3.13,21.16,5.74,2.97,-,2023122106,-,-
DODDABELE 20 MLD,2023-12-21 05:45:00,7.24,24.20,0.86,6.7,47.87,7.08,14.57,11.87,4.34,-,2023122106,-,-
NAGASANDRA OLD 20 MLD,2023-12-21 05:45:00,7.06,22.90,1.72,2.58,671.67,0.0,621.01,0.00,1.55,-,2023122106,-,-
4MLD Cubbon Park TTP,2023-12-21 06:00:00,6.98,27.90,0.75,4.73,17.34,1.23,0.94,5.03,3.75,-,2023122106,-,-
KADABEESANAHALLI 50 MLD,2023-12-17 13:00:00,6.72,22.60,0.87,3.9,50.19,8.67,10.76,8.09,3.47,-,2023122106,-,-
STP Sarakki 5 MLD,2023-12-21 05:45:00,7.89,26.00,0.59,1.18,19.04,5.32,6.54,3.81,-,-,2023122106,-,-
Mailasandra STP 75 MLD,2023-12-21 05:45:00,7.14,20.10,7.34,13.21,45.86,8.93,18.71,14.22,-0.78,-,2023122106,-,-
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,2023122106,-,-
KR Puram STP 20 MLD,2023-12-21 06:00:00,7.23,23.60,1.28,2.56,48.92,7.23,17.12,6.85,1.22,-,2023122106,-,-
1.5 MLD Lalbagh TTP,2023-12-21 06:00:00,7.45,24.00,0.43,2.15,17.90,1.36,1.0,4.85,3.23,-,2023122106,-,-
35MLD Agaram STP,2023-12-21 06:00:00,7.24,24.00,0.82,3.36,29.68,5.07,4.51,6.52,-,-,2023122106,-,-
Chikka_Bagur_5_MLD_STP,2023-12-21 06:00:00,7.55,24.50,6.89,13.8,43.70,6.5,8.5,13.00,-,-,2023122106,-,-
Yelahanka 10MLD TTP,2023-12-21 06:00:00,7.35,23.40,3.42,9.58,41.20,6.8,5.0,8.27,3.09,0.20,2023122106,-,-
40MLD OLD Rajacanal STP,2023-12-21 06:00:00,7.66,22.50,1.82,6.01,25.50,6.4,7.4,6.38,6.37,0.91,2023122106,-,-
Hennur 1MLD TTP,2023-12-20 21:30:00,7.53,25.60,2.1,3.15,26.20,5.0,5.0,5.30,4.18,0.42,2023122106,-,-
4_MLD_Madiwala_STP,2023-12-21 06:00:00,7.64,23.00,1.65,4.78,34.36,2.45,3.61,8.59,-,-,2023122106,-,-
150MLD STP_K&C valley,2023-12-11 15:40:00,8.18,-,3.52,0.93,-,6.39,9.56,-,-,1.91,2023122106,-,-
20Mld KR Puram STP New,2023-12-21 05:45:00,8.18,-,2.05,3.96,41.39,6.34,6.82,9.31,-,-,2023122106,0.78,2.14
10 MLD STP HULIMAVU,2023-12-08 22:45:00,7.6,-,4.24,4.59,-,1.52,4.37,1.20,-,-,2023122106,2.18,2.31
2MLD Ulsoor STP,2023-12-21 06:30:00,7.33,24.90,0.34,1.7,25.34,3.55,4.05,5.07,3.62,-,2023122107,-,-
CHIKKABANAVARA 5 MLD,2023-12-21 06:30:00,7.47,22.40,0.37,3.1,28.74,4.57,4.58,12.69,2.96,-,2023122107,-,-
KADUGODI 6 MLD STP,2023-12-21 07:00:00,7.85,25.10,0.5,3.38,36.78,6.91,9.8,6.55,2.95,-,2023122107,-,-
HORAMAVU 20 MLD,2023-12-21 06:45:00,7.65,27.00,0.94,4.4,59.67,8.93,23.08,5.93,3.76,-,2023122107,-,-
K AND C VALLEY 60 MLD,2023-12-21 06:30:00,6.97,25.40,0.63,3.9,39.96,13.59,8.34,11.87,5.23,-,2023122107,-,-
NAGASANDRA 20 MLD,2023-12-21 06:45:00,7.81,22.30,1.03,4.12,39.92,8.34,8.36,6.19,3.35,-,2023122107,-,-
RAJACANAL 40 MLD,2023-12-21 06:45:00,7.7,24.90,0.86,4.1,28.26,3.46,3.99,8.03,4.13,-,2023122107,-,-
YELLAMALAPACHETTY 15 MLD,2023-12-20 15:59:30,7.03,26.05,0.52,2.08,18.29,4.5,3.55,3.88,3.47,-,2023122107,-,-
BELLANDUR 90 MLD,2023-12-21 06:45:00,7.76,24.70,0.52,1.7,28.71,3.0,21.55,5.74,2.91,-,2023122107,-,-
DODDABELE 20 MLD,2023-12-21 06:45:00,7.22,24.60,0.87,6.7,47.77,7.04,14.57,11.81,4.33,-,2023122107,-,-
NAGASANDRA OLD 20 MLD,2023-12-21 06:45:00,7.07,22.70,1.57,2.36,691.65,0.0,635.48,0.00,6.64,-,2023122107,-,-
4MLD Cubbon Park TTP,2023-12-21 07:00:00,7.0,27.70,0.75,4.72,17.33,1.22,0.93,5.03,3.75,-,2023122107,-,-
KADABEESANAHALLI 50 MLD,2023-12-17 13:00:00,6.72,22.60,0.87,3.9,50.19,8.67,10.76,8.09,3.47,-,2023122107,-,-
STP Sarakki 5 MLD,2023-12-21 06:45:00,7.88,26.00,0.58,1.16,19.03,5.3,6.6,3.81,-,-,2023122107,-,-
Mailasandra STP 75 MLD,2023-12-21 06:45:00,7.13,20.10,7.34,13.21,45.87,8.94,18.72,14.47,-0.78,-,2023122107,-,-
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,2023122107,-,-
KR Puram STP 20 MLD,2023-12-21 07:00:00,7.25,23.60,1.23,2.46,48.86,6.99,17.03,6.84,1.22,-,2023122107,-,-
1.5 MLD Lalbagh TTP,2023-12-21 07:00:00,7.45,24.40,0.42,2.1,17.89,1.36,1.01,4.83,3.15,-,2023122107,-,-
35MLD Agaram STP,2023-12-21 07:00:00,7.23,24.00,0.82,3.36,29.64,5.06,4.51,6.51,-,-,2023122107,-,-
Chikka_Bagur_5_MLD_STP,2023-12-21 07:00:00,7.6,24.50,6.79,13.6,43.30,6.5,8.0,13.00,-,-,2023122107,-,-
Yelahanka 10MLD TTP,2023-12-21 07:00:00,7.35,23.40,3.44,9.63,41.10,6.9,5.3,8.23,3.09,0.20,2023122107,-,-
40MLD OLD Rajacanal STP,2023-12-21 07:00:00,7.66,22.50,1.8,5.94,25.50,6.4,7.4,6.38,6.30,0.90,2023122107,-,-
Hennur 1MLD TTP,2023-12-20 21:30:00,7.53,25.60,2.1,3.15,26.20,5.0,5.0,5.30,4.18,0.42,2023122107,-,-
4_MLD_Madiwala_STP,2023-12-21 07:00:00,7.64,23.00,1.65,4.78,34.33,2.37,3.57,8.58,-,-,2023122107,-,-
150MLD STP_K&C valley,2023-12-11 15:40:00,8.18,-,3.52,0.93,-,6.39,9.56,-,-,1.91,2023122107,-,-
20Mld KR Puram STP New,2023-12-21 06:45:00,8.18,-,2.05,3.96,41.39,6.34,6.82,9.31,-,-,2023122107,0.78,2.20
10 MLD STP HULIMAVU,2023-12-08 22:45:00,7.6,-,4.24,4.59,-,1.52,4.37,1.20,-,-,2023122107,2.18,2.31
2MLD Ulsoor STP,2023-12-21 08:00:00,7.38,25.90,0.33,1.65,32.55,4.56,5.21,6.51,4.65,-,2023122108,-,-
CHIKKABANAVARA 5 MLD,2023-12-21 07:30:00,7.47,22.40,0.37,3.1,28.71,4.58,4.57,12.85,2.96,-,2023122108,-,-
KADUGODI 6 MLD STP,2023-12-21 07:45:00,7.85,25.10,0.5,3.4,36.75,6.91,9.5,6.55,2.95,-,2023122108,-,-
HORAMAVU 20 MLD,2023-12-21 07:45:00,7.7,27.00,0.96,4.4,57.14,8.88,20.57,6.31,3.84,-,2023122108,-,-
K AND C VALLEY 60 MLD,2023-12-21 07:45:00,6.92,25.50,0.63,3.8,38.79,13.64,6.41,12.38,5.23,-,2023122108,-,-
NAGASANDRA 20 MLD,2023-12-21 07:45:00,7.81,22.20,1.05,4.2,36.75,9.46,6.91,6.86,3.34,-,2023122108,-,-
RAJACANAL 40 MLD,2023-12-21 07:45:00,7.69,24.90,0.86,4.1,28.25,3.46,3.99,8.02,4.13,-,2023122108,-,-
YELLAMALAPACHETTY 15 MLD,2023-12-20 15:59:30,7.03,26.05,0.52,2.08,18.29,4.5,3.55,3.88,3.47,-,2023122108,-,-
BELLANDUR 90 MLD,2023-12-21 07:45:00,7.76,24.70,0.52,1.7,28.77,2.62,21.54,5.75,2.91,-,2023122108,-,-
DODDABELE 20 MLD,2023-12-21 07:45:00,7.21,24.40,0.87,6.8,47.93,7.03,14.72,11.77,4.33,-,2023122108,-,-
NAGASANDRA OLD 20 MLD,2023-12-21 07:45:00,7.13,22.70,1.44,2.16,732.02,0.0,659.57,0.00,3.62,-,2023122108,-,-
4MLD Cubbon Park TTP,2023-12-21 08:00:00,7.01,27.70,0.76,4.73,17.35,1.23,0.95,5.03,3.80,-,2023122108,-,-
KADABEESANAHALLI 50 MLD,2023-12-17 13:00:00,6.72,22.60,0.87,3.9,50.19,8.67,10.76,8.09,3.47,-,2023122108,-,-
STP Sarakki 5 MLD,2023-12-21 07:45:00,7.89,26.00,0.57,1.14,19.02,5.3,6.56,3.80,-,-,2023122108,-,-
Mailasandra STP 75 MLD,2023-12-21 07:45:00,7.13,20.00,7.32,13.18,45.77,8.81,18.7,14.16,-0.78,-,2023122108,-,-
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,2023122108,-,-
KR Puram STP 20 MLD,2023-12-21 07:45:00,7.25,23.60,1.22,2.44,49.26,7.15,18.34,6.90,1.21,-,2023122108,-,-
1.5 MLD Lalbagh TTP,2023-12-21 08:00:00,7.41,24.90,0.39,1.98,17.88,1.36,1.0,4.67,3.10,-,2023122108,-,-
35MLD Agaram STP,2023-12-21 08:00:00,7.22,23.90,0.82,3.36,29.60,5.05,4.51,6.50,-,-,2023122108,-,-
Chikka_Bagur_5_MLD_STP,2023-12-21 08:00:00,7.67,24.50,6.61,13.2,43.10,6.4,7.8,12.80,-,-,2023122108,-,-
Yelahanka 10MLD TTP,2023-12-21 08:00:00,7.35,23.40,3.47,9.66,41.70,6.3,3.9,8.30,3.10,0.19,2023122108,-,-
40MLD OLD Rajacanal STP,2023-12-21 08:00:00,7.55,22.50,1.66,5.48,25.50,6.4,7.4,6.38,5.81,0.83,2023122108,-,-
Hennur 1MLD TTP,2023-12-20 21:30:00,7.53,25.60,2.1,3.15,26.20,5.0,5.0,5.30,4.18,0.42,2023122108,-,-
4_MLD_Madiwala_STP,2023-12-21 08:00:00,7.64,22.90,1.59,4.61,34.31,2.31,3.54,8.58,-,-,2023122108,-,-
150MLD STP_K&C valley,2023-12-11 15:40:00,8.18,-,3.52,0.93,-,6.39,9.56,-,-,1.91,2023122108,-,-
20Mld KR Puram STP New,2023-12-21 07:45:00,8.18,-,2.05,3.96,41.39,6.34,6.82,9.31,-,-,2023122108,0.78,2.81
10 MLD STP HULIMAVU,2023-12-08 22:45:00,7.6,-,4.24,4.59,-,1.52,4.37,1.20,-,-,2023122108,2.18,2.31
2MLD Ulsoor STP,2023-12-21 08:45:00,7.37,25.90,0.33,1.65,31.71,4.44,5.07,6.34,4.53,-,2023122109,-,-
CHIKKABANAVARA 5 MLD,2023-12-21 08:30:00,7.49,22.40,0.38,3.1,28.77,4.55,4.59,12.50,3.04,-,2023122109,-,-
KADUGODI 6 MLD STP,2023-12-21 09:00:00,7.77,25.00,0.5,3.37,36.55,6.92,8.74,6.58,2.95,-,2023122109,-,-
HORAMAVU 20 MLD,2023-12-21 08:45:00,7.7,27.00,0.98,4.4,57.56,8.93,21.15,6.30,3.92,-,2023122109,-,-
K AND C VALLEY 60 MLD,2023-12-21 08:45:00,6.89,25.60,0.62,3.8,38.53,13.64,6.16,12.26,5.15,-,2023122109,-,-
NAGASANDRA 20 MLD,2023-12-21 08:45:00,7.82,22.40,1.02,4.08,36.25,9.24,7.02,6.76,3.35,-,2023122109,-,-
RAJACANAL 40 MLD,2023-12-21 08:45:00,7.69,24.90,0.86,4.1,28.25,3.46,3.99,8.00,4.13,-,2023122109,-,-
YELLAMALAPACHETTY 15 MLD,2023-12-20 15:59:30,7.03,26.05,0.52,2.08,18.29,4.5,3.55,3.88,3.47,-,2023122109,-,-
BELLANDUR 90 MLD,2023-12-21 08:30:00,7.76,24.70,0.52,1.7,28.71,2.88,20.93,5.74,2.91,-,2023122109,-,-
DODDABELE 20 MLD,2023-12-21 08:45:00,7.19,24.70,0.87,6.8,47.48,6.99,14.4,11.78,4.31,-,2023122109,-,-
NAGASANDRA OLD 20 MLD,2023-12-21 08:45:00,7.12,22.80,1.41,2.12,769.24,0.0,683.28,0.00,4.00,-,2023122109,-,-
4MLD Cubbon Park TTP,2023-12-21 09:00:00,7.0,27.60,0.75,4.73,17.34,1.23,0.94,5.03,3.75,-,2023122109,-,-
KADABEESANAHALLI 50 MLD,2023-12-17 13:00:00,6.72,22.60,0.87,3.9,50.19,8.67,10.76,8.09,3.47,-,2023122109,-,-
STP Sarakki 5 MLD,2023-12-21 08:45:00,7.92,26.00,0.58,1.16,18.81,4.96,5.73,3.76,-,-,2023122109,-,-
Mailasandra STP 75 MLD,2023-12-21 08:45:00,7.13,20.00,7.33,13.19,45.79,8.83,18.71,14.15,-0.78,-,2023122109,-,-
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,2023122109,-,-
KR Puram STP 20 MLD,2023-12-21 08:45:00,7.26,23.60,1.18,2.36,49.45,7.15,19.16,6.92,1.26,-,2023122109,-,-
1.5 MLD Lalbagh TTP,2023-12-21 09:00:00,7.41,24.90,0.37,1.88,17.88,1.36,1.01,4.63,3.05,-,2023122109,-,-
35MLD Agaram STP,2023-12-21 09:00:00,7.27,24.20,0.8,3.28,29.81,5.09,4.4,6.54,-,-,2023122109,-,-
Chikka_Bagur_5_MLD_STP,2023-12-21 09:00:00,7.54,24.50,6.65,13.3,43.30,6.5,7.9,13.00,-,-,2023122109,-,-
Yelahanka 10MLD TTP,2023-12-21 09:00:00,7.36,23.40,3.4,9.49,42.50,6.8,4.5,8.38,3.09,0.19,2023122109,-,-
40MLD OLD Rajacanal STP,2023-12-21 09:00:00,7.56,22.50,1.63,5.38,25.50,6.4,7.4,6.38,5.70,0.81,2023122109,-,-
Hennur 1MLD TTP,2023-12-21 09:00:00,7.48,25.60,1.62,2.43,25.90,4.9,5.0,5.30,4.18,0.32,2023122109,-,-
4_MLD_Madiwala_STP,2023-12-21 09:00:00,7.64,22.90,1.55,4.49,34.31,2.4,3.54,8.58,-,-,2023122109,-,-
150MLD STP_K&C valley,2023-12-11 15:40:00,8.18,-,3.52,0.93,-,6.39,9.56,-,-,1.91,2023122109,-,-
20Mld KR Puram STP New,2023-12-21 08:45:00,8.18,-,3.36,4.96,41.46,6.34,6.83,9.36,-,-,2023122109,1.05,3.17
10 MLD STP HULIMAVU,2023-12-08 22:45:00,7.6,-,4.24,4.59,-,1.52,4.37,1.20,-,-,2023122109,2.18,2.31
2MLD Ulsoor STP,2023-12-21 09:30:00,7.42,25.70,0.33,1.65,33.88,4.74,5.42,6.78,4.84,-,2023122110,-,-
CHIKKABANAVARA 5 MLD,2023-12-21 09:30:00,7.48,22.40,0.38,3.1,28.77,4.56,4.59,12.65,3.04,-,2023122110,-,-
KADUGODI 6 MLD STP,2023-12-21 09:45:00,7.87,25.10,0.5,3.43,36.76,6.92,9.65,6.56,2.95,-,2023122110,-,-
HORAMAVU 20 MLD,2023-12-21 09:45:00,7.68,27.10,0.98,4.3,57.97,9.06,21.05,6.58,3.92,-,2023122110,-,-
K AND C VALLEY 60 MLD,2023-12-21 09:45:00,6.87,25.70,0.59,4.0,34.86,12.04,6.06,11.61,4.90,-,2023122110,-,-
NAGASANDRA 20 MLD,2023-12-21 09:45:00,7.81,22.40,1.0,4.0,40.62,9.57,7.43,6.52,3.37,-,2023122110,-,-
RAJACANAL 40 MLD,2023-12-21 09:45:00,7.69,25.00,0.87,4.1,28.25,3.45,3.99,7.97,4.18,-,2023122110,-,-
YELLAMALAPACHETTY 15 MLD,2023-12-20 15:59:30,7.03,26.05,0.52,2.08,18.29,4.5,3.55,3.88,3.47,-,2023122110,-,-
BELLANDUR 90 MLD,2023-12-21 09:45:00,7.76,24.80,0.53,1.7,28.70,2.82,21.13,5.74,2.97,-,2023122110,-,-
DODDABELE 20 MLD,2023-12-21 09:45:00,7.2,24.70,0.87,6.8,47.57,7.0,14.46,11.75,4.32,-,2023122110,-,-
NAGASANDRA OLD 20 MLD,2023-12-21 09:45:00,7.12,22.90,1.45,2.18,779.46,0.0,689.15,0.00,4.09,-,2023122110,-,-
4MLD Cubbon Park TTP,2023-12-21 10:00:00,6.99,27.60,0.75,4.73,17.34,1.23,0.94,5.03,3.75,-,2023122110,-,-
KADABEESANAHALLI 50 MLD,2023-12-17 13:00:00,6.72,22.60,0.87,3.9,50.19,8.67,10.76,8.09,3.47,-,2023122110,-,-
STP Sarakki 5 MLD,2023-12-21 09:45:00,7.74,26.00,0.59,1.18,18.84,4.99,5.73,3.77,-,-,2023122110,-,-
Mailasandra STP 75 MLD,2023-12-21 09:45:00,7.23,20.20,7.29,13.13,45.58,8.44,18.67,13.42,0.92,-,2023122110,-,-
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,2023122110,-,-
KR Puram STP 20 MLD,2023-12-21 09:45:00,7.22,23.70,1.44,2.88,49.49,7.45,18.94,6.93,6.32,-,2023122110,-,-
1.5 MLD Lalbagh TTP,2023-12-21 10:00:00,7.39,25.70,0.35,1.8,17.88,1.36,1.0,4.36,2.78,-,2023122110,-,-
35MLD Agaram STP,2023-12-21 10:00:00,7.27,24.20,0.81,3.32,29.81,5.09,4.45,6.54,-,-,2023122110,-,-
Chikka_Bagur_5_MLD_STP,2023-12-21 10:00:00,7.92,24.70,2.56,5.1,42.50,6.4,7.2,12.80,-,-,2023122110,-,-
Yelahanka 10MLD TTP,2023-12-21 09:15:00,7.36,23.40,3.41,9.51,41.60,6.3,4.1,8.32,3.09,0.19,2023122110,-,-
40MLD OLD Rajacanal STP,2023-12-21 10:00:00,7.56,22.50,1.59,5.25,25.50,6.5,7.4,6.38,5.57,0.80,2023122110,-,-
Hennur 1MLD TTP,2023-12-21 10:00:00,7.46,25.60,1.59,2.38,25.90,5.0,5.0,5.30,4.18,0.32,2023122110,-,-
4_MLD_Madiwala_STP,2023-12-21 10:00:00,7.65,22.90,1.49,4.32,34.32,2.38,3.54,8.58,-,-,2023122110,-,-
150MLD STP_K&C valley,2023-12-11 15:40:00,8.18,-,3.52,0.93,-,6.39,9.56,-,-,1.91,2023122110,-,-
20Mld KR Puram STP New,2023-12-21 09:45:00,8.18,-,3.36,4.96,41.46,6.34,6.83,9.36,-,-,2023122110,1.27,3.83
10 MLD STP HULIMAVU,2023-12-08 22:45:00,7.6,-,4.24,4.59,-,1.52,4.37,1.20,-,-,2023122110,2.18,2.31
2MLD Ulsoor STP,2023-12-21 10:15:00,7.43,25.70,0.36,1.8,33.11,4.64,5.3,6.62,4.73,-,2023122111,-,-
CHIKKABANAVARA 5 MLD,2023-12-21 10:30:00,7.49,22.50,0.38,3.1,28.69,4.55,4.58,12.52,3.04,-,2023122111,-,-
KADUGODI 6 MLD STP,2023-12-21 10:30:00,7.86,25.00,0.5,3.58,36.79,6.92,9.57,6.56,2.95,-,2023122111,-,-
HORAMAVU 20 MLD,2023-12-21 10:45:00,7.67,27.20,0.96,4.4,56.85,8.84,20.09,6.95,3.84,-,2023122111,-,-
K AND C VALLEY 60 MLD,2023-12-21 10:45:00,6.9,26.00,0.61,3.9,34.90,11.96,6.04,11.50,5.06,-,2023122111,-,-
NAGASANDRA 20 MLD,2023-12-21 10:45:00,7.81,22.50,1.02,4.08,68.23,6.61,16.58,4.32,3.41,-,2023122111,-,-
RAJACANAL 40 MLD,2023-12-21 10:45:00,7.69,25.20,0.88,4.1,28.24,3.46,3.99,8.02,4.22,-,2023122111,-,-
YELLAMALAPACHETTY 15 MLD,2023-12-20 15:59:30,7.03,26.05,0.52,2.08,18.29,4.5,3.55,3.88,3.47,-,2023122111,-,-
BELLANDUR 90 MLD,2023-12-21 10:45:00,7.76,25.00,0.54,1.7,28.69,2.93,21.09,5.74,3.02,-,2023122111,-,-
DODDABELE 20 MLD,2023-12-21 10:45:00,7.17,24.90,0.88,6.8,48.07,7.09,15.29,11.83,4.30,-,2023122111,-,-
NAGASANDRA OLD 20 MLD,2023-12-21 10:45:00,7.11,23.00,1.49,2.24,770.31,0.0,691.48,0.00,3.96,-,2023122111,-,-
4MLD Cubbon Park TTP,2023-12-21 10:45:00,6.98,27.60,0.75,4.73,17.34,1.23,0.94,5.03,3.75,-,2023122111,-,-
KADABEESANAHALLI 50 MLD,2023-12-17 13:00:00,6.72,22.60,0.87,3.9,50.19,8.67,10.76,8.09,3.47,-,2023122111,-,-
STP Sarakki 5 MLD,2023-12-21 10:45:00,7.85,26.00,0.58,1.16,18.87,5.05,5.84,3.77,-,-,2023122111,-,-
Mailasandra STP 75 MLD,2023-12-21 10:45:00,7.32,21.00,7.3,13.14,45.62,8.49,18.68,13.30,2.74,-,2023122111,-,-
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,2023122111,-,-
KR Puram STP 20 MLD,2023-12-21 10:45:00,7.23,24.00,1.36,2.72,49.57,7.48,20.14,6.94,3.31,-,2023122111,-,-
1.5 MLD Lalbagh TTP,2023-12-21 11:00:00,7.38,26.30,0.32,1.62,17.88,1.36,1.0,3.95,2.58,-,2023122111,-,-
35MLD Agaram STP,2023-12-21 10:45:00,7.28,24.20,0.81,3.32,29.85,5.1,4.45,6.55,-,-,2023122111,-,-
Chikka_Bagur_5_MLD_STP,2023-12-21 11:00:00,7.77,24.60,5.13,10.3,42.90,6.5,7.7,13.00,-,-,2023122111,-,-
Yelahanka 10MLD TTP,2023-12-21 09:15:00,7.36,23.40,3.41,9.51,41.60,6.3,4.1,8.32,3.09,0.19,2023122111,-,-
40MLD OLD Rajacanal STP,2023-12-21 11:00:00,7.59,22.80,1.54,5.08,25.50,6.4,7.4,6.38,5.39,0.77,2023122111,-,-
Hennur 1MLD TTP,2023-12-21 11:00:00,7.46,25.60,1.64,2.46,25.80,4.9,5.0,5.29,4.19,0.33,2023122111,-,-
4_MLD_Madiwala_STP,2023-12-21 11:00:00,7.64,22.90,1.51,4.38,34.33,2.41,3.56,8.58,-,-,2023122111,-,-
150MLD STP_K&C valley,2023-12-11 15:40:00,8.18,-,3.52,0.93,-,6.39,9.56,-,-,1.91,2023122111,-,-
20Mld KR Puram STP New,2023-12-21 10:45:00,8.18,-,3.36,4.96,41.46,6.34,6.83,9.36,-,-,2023122111,1.27,4.53
10 MLD STP HULIMAVU,2023-12-08 22:45:00,7.6,-,4.24,4.59,-,1.52,4.37,1.20,-,-,2023122111,2.18,2.31
2MLD Ulsoor STP,2023-12-21 11:45:00,7.43,25.70,0.34,1.7,33.04,4.63,5.29,6.61,4.72,-,2023122112,-,-
CHIKKABANAVARA 5 MLD,2023-12-21 11:30:00,7.5,22.60,0.39,3.1,28.74,4.56,4.59,12.40,3.12,-,2023122112,-,-
KADUGODI 6 MLD STP,2023-12-21 11:45:00,7.78,25.00,0.5,3.42,36.57,6.93,8.83,6.59,2.95,-,2023122112,-,-
HORAMAVU 20 MLD,2023-12-21 11:45:00,7.69,27.20,0.97,4.3,57.18,8.24,22.16,4.95,3.88,-,2023122112,-,-
K AND C VALLEY 60 MLD,2023-12-21 11:45:00,6.85,26.10,0.62,3.9,34.97,11.9,6.17,10.75,5.15,-,2023122112,-,-
NAGASANDRA 20 MLD,2023-12-21 11:45:00,7.73,24.30,0.96,3.84,62.88,6.57,14.54,5.22,3.58,-,2023122112,-,-
RAJACANAL 40 MLD,2023-12-21 11:45:00,7.68,25.40,0.89,4.1,28.24,3.46,3.99,8.02,4.27,-,2023122112,-,-
YELLAMALAPACHETTY 15 MLD,2023-12-20 15:59:30,7.03,26.05,0.52,2.08,18.29,4.5,3.55,3.88,3.47,-,2023122112,-,-
