stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,outlet_flow,inlet_flow,updated_on
10 MLD STP HULIMAVU,2024-03-20 13:00:00,7.66,-,4.33,3.36,14.24,0.85,2.54,1.20,-,-,4.34,4.84,2024032013
2MLD Ulsoor STP,2024-03-20 11:45:00,6.9,29.00,0.53,2.65,24.92,3.49,3.99,4.98,3.56,-,-,-,2024032014
CHIKKABANAVARA 5 MLD,2024-03-20 13:30:00,7.41,27.10,0.38,3.40,26.42,4.22,4.37,10.84,3.04,-,-,-,2024032014
KADUGODI 6 MLD STP,2024-03-20 13:45:00,7.69,28.50,0.3,7.12,39.69,7.47,14.24,6.84,1.77,-,-,-,2024032014
HORAMAVU 20 MLD,2024-03-20 13:45:00,7.76,31.30,1.02,3.30,37.83,7.03,11.69,2.76,4.08,-,-,-,2024032014
K AND C VALLEY 60 MLD,2024-03-20 13:55:30,6.73,29.80,0.71,2.80,46.71,11.37,6.37,14.41,5.89,-,-,-,2024032014
NAGASANDRA 20 MLD,2024-03-01 11:00:00,7.61,25.30,1.02,4.08,46.64,8.89,11.16,7.62,3.77,-,-,-,2024032014
RAJACANAL 40 MLD,2024-03-20 13:45:00,7.61,29.30,1.22,2.70,28.44,3.61,3.98,8.09,5.86,-,-,-,2024032014
YELLAMALAPACHETTY 15 MLD,2024-03-14 17:45:00,7.53,28.97,0.55,2.20,36.50,6.07,7.84,4.78,3.83,-,-,-,2024032014
BELLANDUR 90 MLD,2024-03-20 13:45:00,7.73,29.90,0.98,1.50,27.82,6.32,11.28,5.56,5.49,-,-,-,2024032014
DODDABELE 20 MLD,2024-03-20 13:30:00,6.85,28.90,0.34,1.30,48.55,6.63,24.69,9.82,4.11,-,-,-,2024032014
NAGASANDRA OLD 20 MLD,2024-03-01 11:00:00,7.35,24.10,1.36,2.04,54.28,5.26,23.47,0.00,-,-,-,-,2024032014
4MLD Cubbon Park TTP,2024-03-20 13:45:00,6.83,30.50,0.65,4.74,17.33,1.24,0.92,5.02,3.25,-,-,-,2024032014
KADABEESANAHALLI 50 MLD,2024-03-17 12:15:00,7.22,26.00,0.83,3.73,44.74,8.28,10.17,8.29,3.31,-,-,-,2024032014
STP Sarakki 5 MLD,2024-03-20 13:45:00,7.8,29.20,0.94,1.88,20.74,7.87,7.68,4.15,-,-,-,-,2024032014
Mailasandra STP 75 MLD,2024-03-20 13:45:00,7.62,26.80,18.1,28.96,48.72,12.6,16.7,3.96,1.52,-,-,-,2024032014
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,-,-,2024032014
KR Puram STP 20 MLD,2024-03-20 13:45:00,6.89,27.20,3.46,6.92,62.47,12.84,43.91,8.75,-0.60,-,-,-,2024032014
1.5 MLD Lalbagh TTP,2024-03-20 13:45:00,7.07,34.00,0.47,2.35,18.57,1.49,1.0,10.31,6.85,-,-,-,2024032014
35MLD Agaram STP,2024-03-20 13:45:00,7.28,28.10,0.62,2.54,29.85,5.1,3.41,6.55,-,-,-,-,2024032014
Chikka_Bagur_5_MLD_STP,2024-03-20 13:30:00,7.4,27.20,7.05,14.10,43.70,7.4,7.2,14.80,-,-,-,-,2024032014
Yelahanka 10MLD TTP,2024-03-20 13:45:00,7.32,24.80,0.0,-,36.60,5.8,5.6,7.34,14.96,0.23,-,-,2024032014
40MLD OLD Rajacanal STP,2024-03-20 13:45:00,7.59,25.80,1.2,2.16,26.30,8.3,10.8,6.57,3.80,0.60,-,-,2024032014
Hennur 1MLD TTP,2024-02-29 09:15:00,7.56,26.40,0.44,0.66,18.90,1.6,4.0,4.95,4.72,0.09,-,-,2024032014
4_MLD_Madiwala_STP,2024-03-20 14:00:00,7.55,27.30,1.64,4.80,35.11,5.04,4.1,8.78,-,-,-,-,2024032014
150MLD STP_K&C valley,2024-03-20 11:30:00,7.1,-,1.04,5.73,-,4.5,9.69,-,-,0.98,-,-,2024032014
20Mld KR Puram STP New,2024-03-19 09:00:00,0.0,-,0.0,0.00,0.00,0.0,0.0,0.00,-,-,3.49,4.38,2024032014
10 MLD STP HULIMAVU,2024-03-20 13:15:00,7.66,-,4.33,3.36,14.24,0.85,2.54,1.20,-,-,4.34,4.94,2024032014
2MLD Ulsoor STP,2024-03-20 14:30:00,6.92,29.10,0.56,2.80,23.03,3.22,3.68,4.61,3.29,-,-,-,2024032015
CHIKKABANAVARA 5 MLD,2024-03-20 14:30:00,7.41,27.10,0.39,-,26.42,4.21,4.37,10.72,3.12,-,-,-,2024032015
KADUGODI 6 MLD STP,2024-03-20 14:45:00,7.83,28.10,0.3,7.13,39.64,7.46,14.29,6.83,1.77,-,-,-,2024032015
HORAMAVU 20 MLD,2024-03-20 14:45:00,7.64,31.00,1.03,3.30,37.55,7.02,11.46,2.69,4.12,-,-,-,2024032015
K AND C VALLEY 60 MLD,2024-03-20 14:52:30,6.73,30.00,0.72,2.80,46.87,11.4,6.43,14.38,5.98,-,-,-,2024032015
NAGASANDRA 20 MLD,2024-03-01 11:00:00,7.61,25.30,1.02,4.08,46.64,8.89,11.16,7.62,3.77,-,-,-,2024032015
RAJACANAL 40 MLD,2024-03-20 14:00:00,7.62,29.30,1.23,2.70,28.44,3.61,3.99,8.11,5.90,-,-,-,2024032015
YELLAMALAPACHETTY 15 MLD,2024-03-14 17:45:00,7.53,28.97,0.55,2.20,36.50,6.07,7.84,4.78,3.83,-,-,-,2024032015
BELLANDUR 90 MLD,2024-03-20 14:45:00,7.73,29.80,0.98,1.50,27.75,6.27,10.6,5.55,5.49,-,-,-,2024032015
DODDABELE 20 MLD,2024-03-20 14:45:00,6.91,28.80,0.35,1.30,48.50,6.6,24.56,9.74,4.15,-,-,-,2024032015
NAGASANDRA OLD 20 MLD,2024-03-01 11:00:00,7.35,24.10,1.36,2.04,54.28,5.26,23.47,0.00,-,-,-,-,2024032015
4MLD Cubbon Park TTP,2024-03-20 14:45:00,6.82,30.50,0.65,4.74,17.33,1.24,0.92,5.03,-,-,-,-,2024032015
KADABEESANAHALLI 50 MLD,2024-03-17 12:15:00,7.22,26.00,0.83,3.73,44.74,8.28,10.17,8.29,3.31,-,-,-,2024032015
STP Sarakki 5 MLD,2024-03-20 14:45:00,7.81,29.20,0.94,1.88,20.80,7.96,7.86,4.16,-,-,-,-,2024032015
Mailasandra STP 75 MLD,2024-03-20 14:45:00,7.63,26.90,18.92,30.27,49.28,13.15,16.71,4.90,1.39,-,-,-,2024032015
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,-,-,2024032015
KR Puram STP 20 MLD,2024-03-20 14:45:00,6.9,27.30,3.24,6.48,61.93,13.28,41.14,8.67,-0.68,-,-,-,2024032015
1.5 MLD Lalbagh TTP,2024-03-20 14:45:00,7.05,34.70,0.44,2.30,18.59,1.49,1.0,13.05,9.89,-,-,-,2024032015
35MLD Agaram STP,2024-03-20 14:45:00,7.29,28.20,0.63,2.58,29.89,5.1,3.46,6.56,-,-,-,-,2024032015
Chikka_Bagur_5_MLD_STP,2024-03-20 13:30:00,7.4,27.20,7.05,14.10,43.70,7.4,7.2,14.80,-,-,-,-,2024032015
Yelahanka 10MLD TTP,2024-03-20 13:45:00,7.32,24.80,0.0,-,36.60,5.8,5.6,7.34,14.96,0.23,-,-,2024032015
40MLD OLD Rajacanal STP,2024-03-20 13:45:00,7.59,25.80,1.2,2.16,26.30,8.3,10.8,6.57,3.80,0.60,-,-,2024032015
Hennur 1MLD TTP,2024-02-29 09:15:00,7.56,26.40,0.44,0.66,18.90,1.6,4.0,4.95,4.72,0.09,-,-,2024032015
4_MLD_Madiwala_STP,2024-03-20 15:00:00,7.55,27.30,1.63,4.70,35.10,4.95,4.09,8.77,-,-,-,-,2024032015
150MLD STP_K&C valley,2024-03-20 14:45:00,6.97,-,1.04,5.72,-,4.5,9.69,-,-,0.98,-,-,2024032015
